Wvl,Sample_4,Sample_5
350,0.013218446,0.170988147
351,0.013149383,0.171077404
352,0.013065169,0.170894294
353,0.012954349,0.170897648
354,0.012822369,0.170812071
355,0.01271336,0.170861468
356,0.012676652,0.171190609
357,0.012646167,0.171138506
358,0.012619018,0.171290795
359,0.012631355,0.171709632
360,0.012646776,0.171910943
361,0.012652396,0.172003115
362,0.012674511,0.172280716
363,0.012706485,0.172658059
364,0.012738571,0.173208682
365,0.012774534,0.173542774
366,0.012839067,0.173714918
367,0.012894251,0.174003788
368,0.012950525,0.174499974
369,0.012977789,0.17475766
370,0.012991582,0.174989534
371,0.013014764,0.175453822
372,0.01302966,0.175780522
373,0.013046326,0.176243519
374,0.013070657,0.176819057
375,0.013133923,0.177453684
376,0.013216442,0.178301108
377,0.013274279,0.17872329
378,0.013417271,0.179395926
379,0.013590764,0.180158542
380,0.013780201,0.180968344
381,0.014032207,0.181837299
382,0.01432581,0.18279593
383,0.014637899,0.18378897
384,0.014921894,0.184695695
385,0.015164998,0.185476443
386,0.015368102,0.186286108
387,0.015556445,0.18700483
388,0.015740995,0.187658161
389,0.015930322,0.188177162
390,0.016150803,0.188813057
391,0.016404664,0.189590917
392,0.0166613,0.190333667
393,0.017007247,0.191127495
394,0.017459908,0.19207689
395,0.017967606,0.193012231
396,0.018497626,0.193947845
397,0.019022323,0.194904448
398,0.019517962,0.195694879
399,0.020001788,0.196418248
400,0.020470162,0.197058109
401,0.020833575,0.197517268
402,0.021192532,0.197971718
403,0.021593081,0.198408259
404,0.021986183,0.198853803
405,0.022378464,0.199352495
406,0.022759454,0.19985394
407,0.023151773,0.200423756
408,0.023561655,0.201109423
409,0.023977268,0.201853724
410,0.024409683,0.202603153
411,0.024849275,0.203271935
412,0.025299704,0.203843627
413,0.025730573,0.204402798
414,0.026136794,0.204877666
415,0.026540383,0.205395416
416,0.026970536,0.206076882
417,0.027395515,0.20669266
418,0.027814957,0.207349784
419,0.028253155,0.208050902
420,0.028687575,0.208740642
421,0.029076069,0.209437097
422,0.029452974,0.21003867
423,0.029837051,0.210683062
424,0.030233942,0.211639261
425,0.0306022,0.212567622
426,0.030923825,0.213331445
427,0.031262949,0.214291641
428,0.031560164,0.21523866
429,0.031812178,0.216179674
430,0.03204243,0.217049183
431,0.032242803,0.21796342
432,0.032428572,0.219051511
433,0.032637118,0.220325723
434,0.032849293,0.221582273
435,0.033071385,0.22282289
436,0.03325615,0.22375618
437,0.033411889,0.224503566
438,0.033566665,0.225247154
439,0.033775837,0.226086746
440,0.034017997,0.226946296
441,0.034273609,0.227739752
442,0.034554336,0.228624099
443,0.034827372,0.229557641
444,0.035070716,0.230427934
445,0.035351724,0.231358836
446,0.035662661,0.232267551
447,0.035999926,0.233128386
448,0.036358404,0.234021332
449,0.036654052,0.234744516
450,0.036890092,0.235447811
451,0.037090328,0.236133671
452,0.037346311,0.236626904
453,0.037696402,0.236969674
454,0.037953983,0.237378404
455,0.038142885,0.237923437
456,0.038263563,0.238530756
457,0.038474479,0.239104161
458,0.038645331,0.239483258
459,0.038754448,0.239740142
460,0.038892551,0.240096781
461,0.039038037,0.240378047
462,0.039217341,0.240773758
463,0.039307619,0.241107
464,0.039381099,0.241349153
465,0.039506997,0.241722896
466,0.039670761,0.241979705
467,0.039808592,0.242222193
468,0.039909996,0.242570952
469,0.040014079,0.242917429
470,0.04008479,0.243019586
471,0.040200197,0.243270185
472,0.040460261,0.243651867
473,0.040649749,0.24401336
474,0.040735215,0.244519688
475,0.040920453,0.245021578
476,0.041082078,0.24511107
477,0.041241551,0.24512947
478,0.041371666,0.24523341
479,0.041520845,0.245484943
480,0.041733958,0.246117845
481,0.041959944,0.246976662
482,0.042128648,0.247643415
483,0.042294531,0.248326301
484,0.042524842,0.248851997
485,0.042727728,0.24933987
486,0.042966422,0.250060361
487,0.043278586,0.250743651
488,0.043567485,0.25135516
489,0.043869382,0.252208969
490,0.044125005,0.253136639
491,0.044443422,0.253815906
492,0.044839638,0.254637974
493,0.045160319,0.255466408
494,0.045496841,0.256198538
495,0.045856361,0.256961122
496,0.046228304,0.257806913
497,0.046645538,0.258741084
498,0.047112653,0.259746622
499,0.047582708,0.260546973
500,0.047990253,0.261367793
501,0.048480535,0.26226532
502,0.049113271,0.263022833
503,0.049668841,0.263900823
